Month,IC,N_train,N_test,jb_p,bp_p,dw
2007-05-01,0.06107609032592618,1546,1547,0.0,0.5255190440772106,1.9439695502430663
2007-06-01,0.08392842557243224,1547,1548,0.0,6.323088577817031e-07,1.9492642460195204
2007-07-01,0.021772721089649276,1548,1550,0.0,0.16637815798363836,1.8674815439341261
2007-08-01,0.05486888560329925,1550,1550,0.0,2.0861045795550436e-05,1.936595550400136
2007-09-01,0.13003477763729823,1550,1669,0.0,0.07941855934777163,1.9319322701390114
2007-10-01,-0.0987350947523533,1669,1702,0.0,2.2167630521954495e-05,1.9215558594901028
2007-11-01,0.4344274844989244,1702,1703,0.0,0.989445108918606,1.896319313408501
2007-12-01,-0.17074071417014253,1703,1698,0.0,0.0008288248055256889,1.9584304916994917
2008-01-01,0.12032460083394299,1698,1703,2.211440801373039e-202,0.0008951813611328902,2.0147508477633207
2008-02-01,-0.026478715603618804,1703,1702,1.47560091081551e-176,0.006664309814610382,2.032208643659121
2008-03-01,-0.09487303424443144,1702,1712,0.0,0.2342691875639326,2.0029310491412424
2008-04-01,-0.09343109921295237,1712,1572,0.0,0.16489002979402695,1.9395960696342847
2008-05-01,-0.09382319021494916,1572,1571,0.0,0.24376114771761354,1.9408475284768147
2008-06-01,0.074240352833578,1571,1571,0.0,0.43410538487666017,1.9562592595815578
2008-07-01,-0.07461941544730753,1571,1571,5.5418418678316686e-139,0.002752130478512069,1.972151044250792
2008-08-01,-0.05439606691975678,1571,1571,0.0,0.024240763906065697,2.0277647650093376
2008-09-01,0.16909431540369166,1571,1705,0.0,0.0004797032560893912,1.9514312919015222
2008-10-01,0.013229346099920073,1705,1716,0.0,0.7959055732251629,1.970801887556835
2008-11-01,-0.21744441472342085,1716,1714,1.5627602548708215e-275,9.339656419306413e-05,1.9872399626728507
2008-12-01,-0.16417291724013894,1714,1713,2.8302361873918986e-223,0.007716049342999294,2.01410686757194
2009-01-01,0.19032530469792514,1713,1713,0.0,0.2178755171557109,1.9584971702401583
2009-02-01,-0.11348701635258518,1713,1713,0.0,0.3606477761192025,1.9848352789826706
2009-03-01,0.21592335162480933,1713,1716,0.0,0.8072021022432143,1.9976276750535455
2009-04-01,0.42922481986700417,1716,1684,0.0,0.18214830305991545,1.944073529366337
2009-05-01,-0.1766684901264157,1684,1685,9.489504854765023e-255,3.554559188623988e-17,1.9482879333880672
2009-06-01,0.19649066361956444,1685,1684,0.0,0.17827958331404203,2.0054644942652606
2009-07-01,-0.16746571068775418,1684,1684,0.0,0.23533789946929243,1.9789269501329114
2009-08-01,-0.030797804305973966,1684,1682,0.0,0.9097254977464234,2.002187376142962
2009-09-01,-0.03736181227364694,1682,1781,0.0,0.3520424967197141,2.0450846035854955
2009-10-01,0.08389452996001655,1781,1873,0.0,0.9824214173037251,1.9412607298588829
2009-11-01,-0.17142959328599916,1873,1873,0.0,0.2368933912107857,1.9520871165200413
2009-12-01,0.10321287070710576,1873,1872,0.0,0.01827244402313049,1.9682923992874235
2010-01-01,-0.05252837039109,1872,1850,0.0,0.7094613591054391,2.0124873971524484
2010-02-01,0.1623530678660366,1850,1850,0.0,0.8981662425288363,2.035785471526333
2010-03-01,-0.07806578491732451,1850,1855,0.0,0.7852870418795113,1.9910350444648055
2010-04-01,-0.030068670623869673,1855,1830,0.0,0.04025395816632197,1.9618722402869502
2010-05-01,0.04763495872878237,1830,1830,0.0,0.8252368621178577,2.0399483947581687
2010-06-01,0.10895011716368423,1830,1830,0.0,0.5179909917568839,2.0483482369938786
2010-07-01,0.044273240130174966,1830,1829,0.0,0.0016142249152200638,1.968520679694554
2010-08-01,-0.026630551340377073,1829,1829,0.0,0.652469213863289,2.00114970658384
2010-09-01,0.03734740829307478,1829,1873,0.0,0.0031403727066264503,1.9550767437666992
2010-10-01,-0.03677811166535256,1873,1935,0.0,0.3558671882194261,1.9241194649882432
2010-11-01,-0.03492647619149046,1935,1934,0.0,0.00010134678887394352,1.900784505669049
2010-12-01,0.08791368296881086,1934,1934,0.0,0.00021686642700210207,1.9197052072806469
2011-01-01,0.016235801811099973,1934,1883,0.0,0.0035285772780657503,1.9474050460903618
2011-02-01,0.18239553112081816,1883,1882,6.98259814972706e-292,2.2630736404617466e-07,1.9826521948732234
2011-03-01,-0.053189414531253545,1882,1880,0.0,2.249620245699391e-06,1.9431136296401206
2011-04-01,-0.013548570571079718,1880,1781,0.0,8.579526952120856e-26,1.9687837071783891
2011-05-01,0.09017489910787198,1781,1780,0.0,0.6119844695892527,1.9456624629257697
2011-06-01,0.022313270355190366,1780,1782,0.0,0.017925357592663952,1.9128847440301049
2011-07-01,0.16645968219471854,1782,1782,0.0,0.0027248391964169202,2.1193742775888027
2011-08-01,-0.039287540461136486,1782,1782,3.4349318270500486e-186,8.897899172775686e-05,1.9708112139671043
2011-09-01,-0.023618216788924937,1782,1848,0.0,0.2189563281918604,1.964313457734092
2011-10-01,0.1816861096633842,1848,1874,0.0,0.6243464028633108,1.9759296330549176
2011-11-01,0.1389190092380819,1874,1875,3.0546430139250306e-308,0.011517060081569951,1.9609094672453984
2011-12-01,-0.3579316893646086,1875,1875,0.0,0.01444838369369883,2.034606342988458
2012-01-01,-0.07775819453787244,1875,1868,1.0704412864709218e-248,2.16365063078385e-05,1.9205589596241526
2012-02-01,0.2600087255518742,1868,1868,0.0,0.1388063152743831,2.001717726709934
2012-03-01,0.14991721063113903,1868,1854,0.0,0.001960961875488537,2.0296122592815484
2012-04-01,0.11005661951209993,1854,1753,0.0,0.8248896812526565,1.9993914816261202
2012-05-01,-0.06920996561667819,1753,1753,0.0,0.039655249715453825,1.969677161272357
2012-06-01,-0.056839966851092806,1753,1753,0.0,0.030145526004499493,1.9770059772815876
2012-07-01,0.1513872963388446,1753,1752,0.0,0.4140467222422537,1.9504668714614086
2012-08-01,-0.050988865211486004,1752,1751,0.0,0.8302592005843997,2.042226651168938
2012-09-01,-0.08737803610441007,1751,1811,0.0,0.0034317797109470654,1.9727208940306062
2012-10-01,0.09264129282514592,1811,1846,0.0,0.1162138289058946,2.024456580922855
2012-11-01,0.009753659705126018,1846,1846,0.0,0.02168372977467065,1.9511130773163594
2012-12-01,-0.06290877553725924,1846,1847,0.0,0.029662162137968393,1.9392764046389124
2013-01-01,0.12478851310335594,1847,1814,0.0,0.8508365970585161,1.9183349472212519
2013-02-01,0.13301049965746872,1814,1813,9.463972786261396e-174,0.011899250046589285,1.99841143950273
2013-03-01,0.04274209479820592,1813,1788,0.0,0.2786504813454188,1.9435081093012183
2013-04-01,-0.18664701727832597,1788,1461,0.0,2.531046456151391e-05,1.9793274463376056
2013-05-01,0.16560888796559173,1461,1461,0.0,2.198620420076018e-05,2.0248508852144727
2013-06-01,0.1765474552988455,1461,1461,0.0,0.48682873674391136,1.9294473988892487
2013-07-01,0.03726987142799664,1461,1462,0.0,0.40829521043727984,2.074990346131904
2013-08-01,-0.04797510817862867,1462,1461,0.0,0.0024149379279908975,2.0357668845844037
2013-09-01,-0.03513675357323105,1461,1473,0.0,5.149708693911381e-06,1.9517130797927198
2013-10-01,-0.05384106805833202,1473,1479,0.0,0.00011863248270795462,2.0863760967483396
2013-11-01,-0.029413895734051718,1479,1479,0.0,3.0778916274002605e-17,2.0008589655825126
2013-12-01,-0.13544634319497106,1479,1478,0.0,0.014492414095710837,1.9288758420580792
2014-01-01,0.23314674116784218,1478,1425,0.0,0.001462211788974698,1.9147687401675582
2014-02-01,0.0057132886564226345,1425,1425,0.0,0.0015445556142852192,2.0487072292704975
2014-03-01,0.059387859113408506,1425,1416,1.3086190042145044e-193,0.026539071343905738,1.9640779178466696
2014-04-01,-0.04167385506153728,1416,1404,0.0,1.995730484466648e-06,2.078327353727856
2014-05-01,0.07728156803922855,1404,1403,1.598605200562577e-114,0.0002734150012455511,1.9690098243722969
