Month,IC,IC_p,alpha,R2_train,R2_test,MSE_train,MSE_test,N_train,N_test,jb_p,bp_p,dw,normality_ok,homosced_ok,autocorr_ok,post_fails,pre_vif_max,pre_flags,post_flags
2011-04,-0.0034386922293227437,0.8846967594224929,184.20699693267164,0.040281391421324475,-1.1505489990046476,0.015332091906656754,0.025532517386815397,1880,1781,4.282106231320863e-286,1.0026352356867391e-06,2.0243704140637697,False,False,True,2,4.27145225386745,,non-normal|heteroscedastic
2011-05,0.08470180347877193,0.00034690546873253374,1000.0,0.026076073921758702,-0.096621899760154,0.011562968147918245,0.014078525899515089,1781,1780,0.0,0.001544659185324157,1.9630332726736675,False,False,True,2,4.08417887816873,,non-normal|heteroscedastic
2011-06,0.08256344685732046,0.00048515016405412727,1000.0,0.0038459391754074312,-0.11830904799617614,0.012788711175924426,0.016307741885429067,1780,1782,0.0,8.780875187697963e-05,1.9152887394800941,False,False,True,2,4.3693108468610165,,non-normal|heteroscedastic
2011-07,0.13376591862374068,1.4423084584874658e-08,244.205309454865,0.0326357987398147,-1.6493115855827098,0.014106588631847768,0.03359356618290116,1782,1782,0.0,0.0006825329886069916,2.117497238148495,False,False,True,2,4.2363974877138055,,non-normal|heteroscedastic
2011-08,-0.02510131618674869,0.2895798240665171,568.9866029018293,0.028038949197697893,-1.1625685158160852,0.012324574453611365,0.026543106178580737,1782,1782,2.9903254209647335e-185,1.1803472345001858e-06,1.9694202325185162,False,False,True,2,4.2179233416831,,non-normal|heteroscedastic
2011-09,-0.018348448679373228,0.43051974308026564,1000.0,0.013181134788274096,-0.0696919544647967,0.012112096207253295,0.014307884000489726,1782,1848,0.0,0.03730304334239537,1.9701118715077803,False,False,True,2,4.141839919836163,,non-normal|heteroscedastic
2011-10,0.16375906997777426,9.85229406370491e-13,1000.0,0.004807587714552364,-1.3422777487973319,0.01331140010328678,0.0319281099105461,1848,1874,0.0,0.03890414478234541,1.9682929584297264,False,False,True,2,4.2490180101003,,non-normal|heteroscedastic
2011-11,0.14180486961307778,6.941058389100463e-10,1000.0,0.013094864992804767,-0.06101412586683774,0.013452723801851097,0.015630794050468202,1874,1875,1.0796913810555974e-190,0.0023356379416334372,1.9510186433680834,False,False,True,2,3.8156401526428874,,non-normal|heteroscedastic
2011-12,-0.29957377969818644,3.4934540242343847e-40,1000.0,0.00801039359656508,-2.375847928743263,0.01461392912674862,0.08923651094357575,1875,1875,0.0,2.7372405512279942e-06,2.0371249377730964,False,False,True,2,3.8104185967448854,,non-normal|heteroscedastic
2012-01,-0.07719485654553151,0.0008403818221506439,104.81131341546852,0.1184019011645755,-1.0950461639686004,0.02330399356106361,0.03437138977976875,1875,1868,4.801334662808958e-48,9.019965424266133e-10,1.9239051107178557,False,False,True,2,3.856868947583954,,non-normal|heteroscedastic
2012-02,0.280394428098995,4.33411886321827e-35,1000.0,0.01007603075563468,-0.4698554890999953,0.016240722130332896,0.021453485462360616,1868,1868,1.7305612257589256e-247,0.0002645865728013503,1.997515402005935,False,False,True,2,3.9815020353616397,,non-normal|heteroscedastic
2012-03,0.16103129908043776,3.067661784759422e-12,568.9866029018293,0.05547485257442919,-0.21894295566526267,0.013785951523394943,0.020019938506775633,1868,1854,0.0,0.0007045285986721087,2.0331309785449596,False,False,True,2,3.882587085867819,,non-normal|heteroscedastic
2012-04,0.14096372062416698,3.077735530921735e-09,429.1934260128778,0.02478615649478577,-0.48957633226233743,0.016016927689019904,0.021377886009806536,1854,1753,0.0,0.13536364675903034,2.0639247990782414,False,True,True,1,3.836667425625717,,non-normal
