co_code,status,reason,N,features_used,R²,Adj R²,F-stat,F p-value,AIC,BIC,pre_fails,pre_warns,post_fails,post_warns,coef_const,pval_const,coef_lag_ret,pval_lag_ret,coef_Momentum,pval_Momentum,coef_BM_sep,pval_BM_sep,coef_OpProf,pval_OpProf,coef_Inv,pval_Inv,coef_mktcap,pval_mktcap
3635,OK,,37.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.545539,0.454647,5.5166,0.0006,-29.5502,-18.2738,1.0,0.0,1.0,2.0,-3.889983,0.000519,-0.324761,0.053981,-0.34208,0.002651,0.134543,0.015591,-1.381973,0.001707,0.826032,0.008157,0.748753,7e-06
3645,OK,,247.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.050981,0.027255,1.7952,0.100725,-185.6446,-161.0789,1.0,0.0,1.0,2.0,0.728605,7.6e-05,-0.048049,0.667805,0.003979,0.800732,0.077672,0.008266,-0.088579,0.348167,0.014015,0.844244,0.0319,0.013191
3687,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
3748,OK,,172.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.279573,0.253376,8.0909,0.0,-152.838,-130.8055,1.0,0.0,3.0,2.0,-1.326878,0.000337,-0.066072,0.35105,-0.199322,0.0,0.238426,0.0,-4e-05,0.992031,-0.03336,0.772545,0.308622,0.0
3823,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
3852,OK,,61.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.248124,0.164582,1.968,0.086445,-32.7111,-17.935,1.0,0.0,2.0,2.0,-1.156395,0.146664,-0.161018,0.230239,-0.099582,0.090683,0.124039,0.024749,0.396984,0.205873,-0.320627,0.181049,0.371835,0.001793
3890,SKIPPED,Insufficient obs (27) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
3936,OK,,160.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.148221,0.114818,3.187,0.005636,-189.7893,-168.2631,1.0,0.0,1.0,2.0,0.357481,0.074839,-0.086674,0.342523,-0.083616,0.011269,0.064319,0.003159,-0.035792,0.774781,0.261528,0.069642,0.116348,8.7e-05
3939,OK,,127.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.069648,0.023131,0.8553,0.530051,-18.6563,1.253,1.0,0.0,2.0,2.0,0.219712,0.708343,-0.109258,0.395942,-0.066356,0.317045,0.025478,0.086644,-0.062771,0.550254,-0.007885,0.959556,0.107242,0.155281
3982,OK,,43.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.658212,0.601247,5.5578,0.000369,-21.7587,-9.4303,1.0,0.0,0.0,2.0,-1.878793,0.0063,-0.181462,0.208653,-0.251048,1.8e-05,0.630889,0.007444,0.244382,0.292363,0.857907,0.007088,0.548291,8e-06
3986,OK,,238.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.02128,-0.004141,0.512,0.799002,-171.0849,-146.779,1.0,0.0,1.0,2.0,0.976076,0.0,-0.099222,0.211411,0.009737,0.446072,0.068899,0.312427,0.019501,0.675669,-0.002143,0.983282,0.015439,0.286923
3998,SKIPPED,Insufficient obs (3) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4042,OK,,124.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.141331,0.097296,4.0664,0.00097,-86.9854,-67.2435,1.0,0.0,1.0,1.0,0.740495,0.000169,-0.245591,0.004847,-0.049566,0.270346,0.086059,0.004411,-0.072714,0.225983,0.103766,0.17527,0.068111,0.017933
4054,SKIPPED,Insufficient obs (28) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4068,OK,,280.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.007864,-0.013941,0.2189,0.970539,-55.0754,-29.6319,1.0,0.0,1.0,1.0,0.884464,0.0,0.063739,0.546572,-0.002578,0.768356,0.023717,0.486785,-0.014289,0.868338,-0.033276,0.621346,0.007826,0.469714
4075,OK,,148.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.163875,0.128295,4.2409,0.000588,-143.8794,-122.8989,1.0,0.0,1.0,2.0,-0.477737,0.132765,0.149639,0.131289,-0.082299,0.000733,0.104721,0.056614,-0.134772,0.191038,-0.040151,0.145008,0.107762,4.1e-05
4078,SKIPPED,Insufficient obs (16) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4092,OK,,160.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.040701,0.003081,1.4081,0.214899,-6.1693,15.357,1.0,0.0,1.0,2.0,0.847662,1e-06,-0.005207,0.969939,-0.028467,0.231169,-0.010583,0.308328,0.029831,0.557905,-0.009324,0.045783,0.044698,0.103895
4125,OK,,82.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.400827,0.352893,5.6791,6.6e-05,-4.0992,12.7478,1.0,0.0,1.0,1.0,-1.003846,0.100008,-0.10106,0.300549,-0.12133,0.004621,0.624742,2e-06,-0.054602,0.204476,-0.095644,0.609588,0.42149,0.000957
4138,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4153,OK,,43.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.494724,0.410511,7.7337,2.2e-05,-29.0194,-16.691,1.0,0.0,0.0,2.0,-1.565371,0.002057,-0.257247,0.073285,-0.277254,8e-06,0.205232,0.000171,0.311607,0.092033,-0.341726,0.088674,0.483649,2e-06
4190,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4233,SKIPPED,Insufficient obs (24) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4244,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4248,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4259,SKIPPED,Insufficient obs (4) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4279,SKIPPED,Insufficient obs (27) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4284,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4286,OK,,40.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.338089,0.217741,2.653,0.032721,-39.9651,-28.1429,1.0,0.0,1.0,2.0,1.159969,0.262357,0.077746,0.826529,-0.146148,0.121009,0.146998,0.341452,-6.993699,0.238502,4.193181,0.123241,0.208872,0.433846
4307,OK,,100.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.172541,0.119156,3.8272,0.001871,-40.0106,-21.7745,1.0,0.0,1.0,2.0,-0.203296,0.604288,-0.216195,0.100766,-0.009466,0.770148,0.239037,0.001903,0.308198,0.046722,0.190756,0.116558,0.181981,0.000152
4321,SKIPPED,Insufficient obs (28) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4335,OK,,109.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.242156,0.197577,5.807,3.1e-05,-72.5406,-53.7011,1.0,0.0,0.0,2.0,-0.86844,0.147473,0.074974,0.471918,-0.097096,0.000389,0.787652,0.012399,0.329433,0.000399,0.018604,0.287776,0.160915,0.004312
4367,OK,,148.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.086125,0.047236,2.4338,0.028652,-186.6888,-165.7083,1.0,0.0,1.0,2.0,0.531745,0.103966,-0.089593,0.411476,-0.01533,0.436526,0.200273,0.006653,0.079881,0.14638,0.110274,0.113233,0.05426,0.128639
4369,OK,,70.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.146534,0.065252,1.9611,0.084674,-89.893,-74.1535,1.0,0.0,0.0,2.0,0.686786,0.017114,-0.139934,0.170943,-0.032444,0.456109,0.205101,0.012095,0.081015,0.520161,-0.014941,0.911123,0.059857,0.228355
4473,SKIPPED,Insufficient obs (31) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4477,OK,,88.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.191544,0.131658,1.9561,0.081649,-132.0625,-114.7211,1.0,0.0,1.0,1.0,-0.878494,0.311886,-0.09347,0.29442,-0.04536,0.181786,1.615571,0.0446,0.405868,0.33188,0.016927,0.941333,0.160987,0.014433
4499,OK,,145.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.346268,0.317845,6.8238,2e-06,-131.0732,-110.2361,1.0,0.0,3.0,2.0,-1.42586,0.000343,-0.109807,0.281933,-0.123172,0.000922,0.274597,0.0,-0.428066,0.0,0.413045,4e-06,0.473828,0.0
4508,OK,,238.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.053128,0.028534,2.1607,0.04767,-197.5916,-173.2857,1.0,0.0,1.0,2.0,0.685068,0.000901,-0.121642,0.047863,0.000744,0.966633,0.56538,0.012314,0.058837,0.215548,-0.079471,0.398307,0.04456,0.057619
4509,OK,,280.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.065934,0.045405,3.3583,0.003286,-373.611,-348.1675,1.0,0.0,1.0,2.0,0.656885,0.000154,-0.069631,0.361839,0.004586,0.705105,0.069471,0.001467,0.055084,0.203896,-0.16838,0.074963,0.045601,0.003644
4511,OK,,76.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.326759,0.268216,3.2827,0.006716,-82.8985,-66.5833,1.0,0.0,0.0,2.0,-2.32368,0.006479,-0.096769,0.45386,-0.107375,0.014398,0.819287,0.000107,0.945619,0.090809,-0.06961,0.192399,0.347454,9.1e-05
4515,SKIPPED,Insufficient obs (4) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4524,OK,,90.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.336879,0.288943,6.3072,1.7e-05,-55.9704,-38.4717,1.0,0.0,2.0,2.0,-1.076038,0.026164,-0.072937,0.423753,-0.220967,6.1e-05,0.182817,0.0,-0.60423,0.032865,0.075896,0.593195,0.458434,0.0001
4535,OK,,280.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.033404,0.01216,1.3528,0.233987,-176.8922,-151.4487,1.0,0.0,1.0,2.0,1.100862,0.0,-0.031238,0.686008,0.012977,0.33323,0.012755,0.438992,-0.17456,0.19876,-0.111934,0.015489,0.00334,0.727848
4537,OK,,244.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.050421,0.026381,1.1293,0.345862,-125.7715,-101.2913,1.0,0.0,1.0,2.0,0.833288,1e-06,-0.051456,0.594728,-0.005587,0.709835,0.062363,0.067633,0.018564,0.579853,-0.029764,0.464803,0.025481,0.197578
4539,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4554,SKIPPED,Insufficient obs (4) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4572,OK,,148.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.130253,0.093243,2.9988,0.008676,-61.0549,-40.0745,1.0,0.0,1.0,1.0,0.238866,0.424243,-0.028862,0.728694,-0.052751,0.041345,0.030597,0.013274,0.13943,0.296466,0.11763,0.059438,0.086645,0.021978
4601,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4630,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4670,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4704,OK,,36.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.478037,0.370044,4.2396,0.003496,-22.9295,-11.8449,1.0,0.0,1.0,2.0,-2.448071,0.009458,-0.210051,0.246482,-0.112461,0.194489,0.085656,0.017214,22.836737,0.31001,-3.703017,0.037873,0.617592,2.7e-05
4717,OK,,121.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.125607,0.079586,2.0886,0.059884,-15.643,3.9276,1.0,0.0,1.0,2.0,0.045168,0.902792,-0.151688,0.126761,-0.05698,0.121637,0.083601,0.030424,-0.006488,0.90204,0.017101,0.914573,0.153866,0.003333
4723,OK,,280.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.058585,0.037894,1.1588,0.328715,-380.6117,-355.1681,1.0,0.0,2.0,2.0,0.333073,0.418944,-0.101773,0.200918,-0.025498,0.229375,0.432463,0.084307,0.256789,0.04307,0.091972,0.217029,0.062951,0.065677
